"STATE/UT","YEAR","DG/ ADG","IG","DIG","SSP/SP/ Ad.SP","ASP/ DySP","Insepctor","Sub Inspector","Asst. Sub Inspector","Head Constable","Below HC above Constable","Constables","TOTAL"
"GUJARAT","2008",13,31,15,66,206,792,1595,7810,11122,0,36516,58166
"HARYANA","2008",8,18,11,67,139,629,1188,2959,5329,0,32220,42568
"HIMACHAL PRADESH","2008",13,15,11,70,100,232,537,992,2206,0,8870,13046
"JAMMU & KASHMIR","2008",7,23,19,223,381,722,2124,2903,10419,43179,3768,63768
"JHARKHAND","2008",7,16,15,64,266,697,3540,1637,7126,0,38460,51828
"KARNATAKA","2008",17,35,26,175,360,1082,2265,3746,16466,0,51165,75337
"KERALA","2008",8,12,5,59,312,466,1690,1378,7960,0,29165,41055
"MADHYA PRADESH","2008",10,20,30,194,660,1332,3410,4359,14041,0,52770,76826
"MAHARASHTRA","2008",26,30,44,218,488,3099,6832,14838,35018,33248,72525,166366
"MANIPUR","2008",2,7,5,50,101,285,733,538,2115,26,12296,16158
"MEGHALAYA","2008",6,6,3,25,64,157,727,167,974,384,7753,10266
"MIZORAM","2008",1,1,6,59,78,214,655,490,784,1223,6369,9880
"NAGALAND","2008",4,7,11,48,61,76,342,218,803,1145,7728,10443
"ODISHA","2008",8,15,9,127,200,708,2213,2308,3423,656,30709,40376
"PUNJAB","2008",12,18,25,195,410,573,1962,4137,11135,0,48788,67255
"RAJASTHAN","2008",17,26,10,74,586,891,2659,4292,8266,0,55950,72771
"SIKKIM","2008",4,11,4,35,36,61,176,199,446,0,2629,3601
"TAMIL NADU","2008",21,40,21,209,632,2416,7135,0,36762,10215,32281,89732
"TRIPURA","2008",3,7,7,59,181,233,808,478,1905,1912,16950,22543
"UTTAR PRADESH","2008",37,41,38,352,706,1403,10421,0,21516,0,103931,138445
"UTTARAKHAND","2008",5,6,4,46,68,164,658,0,2059,0,11795,14805
"WEST BENGAL","2008",19,49,21,105,365,1374,5744,10591,7,39,60404,78718
"TOTAL (STATES)","2008",298,498,416,3103,7648,20958,71344,75110,233780,94733,895414,1403302
"A & N ISLANDS","2008",1,0,2,3,12,39,150,204,480,0,1872,2763
"CHANDIGARH","2008",0,1,0,4,13,52,243,164,848,0,2738,4063
"D & N HAVELI","2008",0,0,0,2,1,1,11,2,44,0,152,213
"DAMAN & DIU","2008",0,0,1,1,2,1,9,5,31,0,170,220
"DELHI","2008",8,15,12,63,247,1192,4160,6124,15809,0,32814,60444
"LAKSHADWEEP","2008",0,0,0,1,1,5,12,13,64,0,212,308
"PUDUCHERRY","2008",1,0,1,3,18,49,130,68,345,0,1667,2282
"TOTAL (UTs)","2008",10,16,16,77,294,1339,4715,6580,17621,0,39625,70293
"TOTAL (ALL-INDIA)","2008",308,514,432,3180,7942,22297,76059,81690,251401,94733,935039,1473595
"ANDHRA PRADESH","2009",18,23,24,167,647,1400,4020,3322,14528,0,82706,106855
"ARUNACHAL PRADESH","2009",1,1,3,26,58,89,370,217,1078,106,5307,7256
"ASSAM","2009",9,14,16,184,270,722,3310,1809,5853,2600,36942,51729
"BIHAR","2009",20,15,19,78,384,704,5305,3977,7394,0,41304,59200
"CHHATTISGARH","2009",5,15,10,114,156,591,961,1842,6027,0,29986,39707
"GOA","2009",1,1,1,14,24,53,178,169,749,0,3534,4724
"GUJARAT","2009",15,26,18,73,210,750,1972,7836,11099,0,38357,60356
"HARYANA","2009",11,18,10,59,158,668,1277,3251,5442,0,30498,41392
"HIMACHAL PRADESH","2009",13,16,13,67,97,244,537,1106,2319,0,9558,13970
"JAMMU & KASHMIR","2009",3,18,45,243,462,963,2415,3540,14722,61963,3739,88113
"JHARKHAND","2009",7,16,15,55,309,316,2443,2162,5512,0,31525,42360
"KARNATAKA","2009",17,31,35,175,360,1082,2265,3746,16466,0,51165,75342
"KERALA","2009",8,11,5,53,316,474,1974,1471,8121,0,27356,39789
"MADHYA PRADESH","2009",10,20,30,194,660,1332,3410,4359,14043,0,52778,76836
"MAHARASHTRA","2009",24,40,44,259,562,3411,7551,14789,35765,38144,79314,179903
"MANIPUR","2009",1,7,4,60,89,420,814,646,2942,26,14227,19236
"MEGHALAYA","2009",5,7,3,30,60,162,735,175,1098,277,7512,10064
"MIZORAM","2009",1,1,4,68,59,193,522,366,1661,1250,6823,10948
"NAGALAND","2009",4,7,11,46,60,73,321,197,795,1072,7417,10003
"ODISHA","2009",5,10,13,174,479,802,1864,4229,3845,818,31236,43475
"PUNJAB","2009",11,17,24,176,228,550,2001,4187,11521,0,48329,67044
"RAJASTHAN","2009",12,21,10,211,364,875,2558,4255,8182,0,55237,71725
"SIKKIM","2009",3,11,5,36,38,64,173,199,446,0,2629,3604
